SubscriberKey,Email,FirstName,LastName,DNI,Registration_Date
003TKdgnYd9OKpAb7l,maria.garcia@outlook.com,Maria,Garcia,76618555I,2025-05-14
003S5BfFFB015JfqGh,carlos.sanchez@yahoo.es,Carlos,Sanchez,33573262L,2024-03-31
0032KdYN79ZUtkZUL2,JUAN.PEREZ@YAHOO.ES,Juan,Perez,95333255F,2025-11-08
003nUWJiPTmEy8KbQe,sofia.diaz@yahoo.es,Sofia,Diaz,61894286S,2024-11-23
003XsVfqL4yNgDR6kG,carlos.sanchez@yahoo.es,Carlos,Sanchez,,2025-06-13
0037LJGp0GnYw619AF,ana.martinez@outlook.com,Ana,Martinez,18571758K,2025-08-13
003ELU3pSG5YWx8wSJ,carlos.sanchez@outlook.com,Carlos,Sanchez,86681415A,2025-04-20
003kvaY2RmhlTXjp9f,sofia.diaz@gmail.com,Sofia,Diaz,54642691W,2024-02-20
00359krhPGD1584hEg,sofia.diaz@hotmail.com,Sofia,Diaz,89853391A,2025-06-03
003qY2KlflL1gcpsNp,LUIS.RODRIGUEZ@HOTMAIL.COM,Luis,Rodriguez,,2025-08-13
003muoJAwA9UN3garD,LUIS.RODRIGUEZ@OUTLOOK.COM,Luis,Rodriguez,80433819T,2025-03-10
003WDsreE3Kw2gzSpd,maria.garcia@outlook.com,Maria,Garcia,,2024-05-03
0031uLsRSlAOkQ5zoW,pedro.gomez@gmail.com,Pedro,Gomez,48149609J,2025-11-30
003n0ll0Pkvx6ZmYwh,carlos.sanchez@gmail.com,Carlos,Sanchez,48508544L,2025-09-13
003DrtXUpSmPsgMN98,laura.lopez@hotmail.com,Laura,Lopez,96096793G,2024-06-04
003c57ciaN3ix4EVqh,elena.ruiz@yahoo.es,Elena,Ruiz,65715586G,2025-12-07
003SRdCm9yZkLKJOle,carlos.sanchez@hotmail.com,Carlos,Sanchez,48747456Y,2024-08-31
003w1O5SyTxxy592sL,SOFIA.DIAZ@YAHOO.ES,Sofia,Diaz,,2025-04-23
003t905XK1EHyQX2Sk,ANA.MARTINEZ@GMAIL.COM,Ana,Martinez,78673898M,2025-06-24
003KLFAjfdSorIOF6O,diego.fernandez@outlook.com,Diego,Fernandez,10452798E,2026-01-04
003SBams5GBxwinyPS,juan.perez@hotmail.com,Juan,Perez,14644795S,2024-04-30
003JYxO6COx7t7drdF,ANA.MARTINEZ@GMAIL.COM,Ana,Martinez,62261336O,2025-01-21
003n0vc4cGxnL4ggaL,MARIA.GARCIA@HOTMAIL.COM,Maria,Garcia,,2024-10-23
003H0dqrT4fbrYdH45,pedro.gomez@gmail.com,Pedro,Gomez,21396066H,2024-05-28
003I7djCMj8d5X7pSa,maria.garcia@gmail.com,Maria,Garcia,34010232O,2024-06-25
003kpEXTfwb5Xvv2J2,pedro.gomez@outlook.com,Pedro,Gomez,13087924T,2025-05-27
003f3oMlRgeI1nyit5,ana.martinez@gmail.com,Ana,Martinez,20408647N,2024-03-25
003TwpGprkOlw4xiQv,luis.rodriguez@hotmail.com,Luis,Rodriguez,58791424U,2024-12-08
003ipJP1yKQgeoAsHE, carlos.sanchez@hotmail.com ,Carlos,Sanchez,12858948T,2024-07-01
003GGZwJJEtY6hhVb1,juan.perez@outlook.com,Juan,Perez,81617551E,2024-11-14
003ULUahIg62xXk6Jn,DIEGO.FERNANDEZ@YAHOO.ES,Diego,Fernandez,23294057H,2025-11-19
003vZuinCza46EgF5i,ana.martinez@yahoo.es,Ana,Martinez,75530616F,2024-12-18
003H1425chey1a4ZRI,MARIA.GARCIA@YAHOO.ES,Maria,Garcia,19366236Q,2025-07-17
003SiBmf4ebszmIKzL,ANA.MARTINEZ@OUTLOOK.COM,Ana,Martinez,98655332X,2024-11-04
003UaQ9UwsOnMMghCH,laura.lopez@outlook.com,Laura,Lopez,78473378T,2024-11-06
003ub6XQ2RqdERCCMu,LUIS.RODRIGUEZ@OUTLOOK.COM,Luis,Rodriguez,31077440O,2025-05-10
003Nwdic6YHYJrxG0I,CARLOS.SANCHEZ@OUTLOOK.COM,Carlos,Sanchez,15239687Q,2024-02-24
00385145b2rZ1re0lQ,elena.ruiz@hotmail.com,Elena,Ruiz,19847963F,2025-12-22
003OZnxuzLUmGBMV4t,sofia.diaz@outlook.com,Sofia,Diaz,55773889O,2024-07-19
003Ni0N7neOqUs9X2N,carlos.sanchez@hotmail.com,Carlos,Sanchez,23080837A,2025-04-07
003irlcKA3WuytJ9Uz,ana.martinez@outlook.com,Ana,Martinez,29912533J,2024-04-16
003he155mVTGkFCPPd,LUIS.RODRIGUEZ@OUTLOOK.COM,Luis,Rodriguez,63246159X,2024-04-30
003BwApBSznb7OhCbG,ana.martinez@gmail.com,Ana,Martinez,,2024-03-26
003CjBfNI2Cyfeo79Q,diego.fernandez@yahoo.es,Diego,Fernandez,39264967G,2025-05-25
003yZ2adUiWw7IR8tA,laura.lopez@outlook.com,Laura,Lopez,27510878J,2024-02-05
0032riYTrmlZvbLyGd,carlos.sanchez@yahoo.es,Carlos,Sanchez,,2024-07-18
003KwwWDYRft83NCQb,carlos.sanchez@outlook.com,Carlos,Sanchez,23721951T,2025-11-10
003MLn0NT3aamc8PNm,pedro.gomez@yahoo.es,Pedro,Gomez,62682636M,2024-01-30
0039l3hGqxPOyx69h5,DIEGO.FERNANDEZ@YAHOO.ES,Diego,Fernandez,62511269E,2024-08-05
0036OoaTFzLmgcBx2g,LUIS.RODRIGUEZ@YAHOO.ES,Luis,Rodriguez,45265381N,2024-04-11
003UzOlqjn14XS8eO8,ana.martinez@gmail.com,Ana,Martinez,,2025-09-13
003VYX5xquM00jnZmp,LAURA.LOPEZ@YAHOO.ES,Laura,Lopez,79850244U,2024-07-02
003PVQn3VFhCaicKtT,maria.garcia@gmail.com,Maria,Garcia,43499930L,2025-12-31
003A9J2PpBs8IiQPRx,diego.fernandez@yahoo.es,Diego,Fernandez,85378587D,2025-12-23
003boENKIKlejPR58e,PEDRO.GOMEZ@YAHOO.ES,Pedro,Gomez,79185071J,2024-04-02
0031sv8Fo2qQX1ZcyG,laura.lopez@yahoo.es,Laura,Lopez,70315252V,2024-03-20
003GKvvntrjZfwcgsl,pedro.gomez@gmail.com,Pedro,Gomez,41963472D,2025-08-08
003zdCsKWycWniB5Qm,carlos.sanchez@hotmail.com,Carlos,Sanchez,65811945Y,2024-06-23
003tI48IqBO9GTMSKr,laura.lopez@yahoo.es,Laura,Lopez,,2025-04-02
0037KMa1BOqNBuNw6V,elena.ruiz@hotmail.com,Elena,Ruiz,23843086M,2025-10-09
003hXq9ROn6awlAeO4,LAURA.LOPEZ@YAHOO.ES,Laura,Lopez,81304670B,2024-04-09
003Q88xkNy3jOxPApt,maria.garcia@yahoo.es,Maria,Garcia,70279369Q,2025-04-20
003s94JVz5NqJNXLLy,MARIA.GARCIA@GMAIL.COM,Maria,Garcia,49503143W,2024-03-14
003zEtdp7zvASbU8Ut,ana.martinez@hotmail.com,Ana,Martinez,26909317A,2024-05-27
003VwoBBgtSIQmBK1I,PEDRO.GOMEZ@YAHOO.ES,Pedro,Gomez,71271746S,2024-06-29
003l3Zf88GeNGSjeKM,laura.lopez@hotmail.com,Laura,Lopez,15646916I,2024-11-22
003rQuuQhmO1uHcXGu,pedro.gomez@yahoo.es,Pedro,Gomez,24500947H,2025-06-26
003CuzJs8WLpEGKipD,carlos.sanchez@gmail.com,Carlos,Sanchez,68881095V,2025-02-07
003gcbF5p0TeIWYyMD,ANA.MARTINEZ@YAHOO.ES,Ana,Martinez,66964355J,2024-04-17
