user_id,email_clean,recency_days,frequency,monetary,avg_ticket,total_page_views,total_add_to_cart,is_cart_abandoner
003ELU3pSG5YWx8wSJ,carlos.sanchez@outlook.com,281,2,281.88,140.94,4,0,0
003ub6XQ2RqdERCCMu,luis.rodriguez@outlook.com,372,3,388.16999999999996,129.39,3,1,1
003rQuuQhmO1uHcXGu,pedro.gomez@yahoo.es,284,3,51.66000000000001,17.220000000000002,7,3,1
003QRqjQuPHZEBzPAL,elena.ruiz@gmail.com,105,1,48.31,48.31,5,5,1
003mkq72WR6gihgFn3,pedro.gomez@yahoo.es,215,5,580.82,116.16400000000002,7,3,1
003CLcC5KI6qpTbHJJ,maria.garcia@outlook.com,36,5,358.0,71.6,6,0,0
0032tF32ZqboBR5zNB,elena.ruiz@outlook.com,250,2,157.89,78.945,3,4,1
003Lro0Wd8OoNu9SUC,luis.rodriguez@hotmail.com,526,1,31.98,31.98,13,3,1
003URKyqeQ055tFojl,ana.martinez@gmail.com,310,2,310.15,155.075,13,2,1
003vlbrNKMmp3eRuA1,laura.lopez@yahoo.es,136,4,323.95000000000005,80.98750000000001,18,5,1
0031IKCc0eYrkUuW8c,luis.rodriguez@hotmail.com,193,2,223.17000000000002,111.58500000000001,13,3,1
003sfPaHpsKMziItaI,laura.lopez@yahoo.es,26,1,12.05,12.05,18,5,1
003XFYTrVrFuLWU8Pm,ana.martinez@hotmail.com,208,4,422.09000000000003,105.52250000000001,13,1,1
003QQWoMVAdJCbxHCc,diego.fernandez@gmail.com,366,1,181.38,181.38,9,2,1
003WA9FV73LE5LTSxs,maria.garcia@gmail.com,72,2,101.53999999999999,50.769999999999996,11,2,1
0031RQPJfe967DPaWQ,elena.ruiz@gmail.com,101,3,363.0,121.0,5,5,1
003Fl31gWp8U4QPBLF,maria.garcia@outlook.com,199,5,296.7,59.339999999999996,6,0,0
0032CvvDefRNiSuMSx,carlos.sanchez@outlook.com,657,4,489.32000000000005,122.33000000000001,4,0,0
003YcBw4C2fI0bCMdq,laura.lopez@yahoo.es,111,2,216.44,108.22,18,5,1
